category,name,address,rating,user_ratings_total,place_id,lat,lng,sources
地产/中介,墨西哥租房小区,"Av. Concordia S/N, Anahuác San Patricio - Sector San Antonio, 66058 Cdad. Gral. Escobedo, N.L., 墨西哥",4.7,26,ChIJ77kY1X-TYoYRxmGZSFKkV6k,25.7871945,-100.2947447,租房｜蒙特雷
手机/电子/IT,Bock博客纸箱，模具维修,"Centro América 31, Industrial Unidad Nacional Dos, 66367 Cdad. Santa Catarina, N.L., 墨西哥",,,ChIJ8TdIeQCZYoYRRFEumK5D-qo,25.6859912,-100.4770972,维修｜蒙特雷
教育/培训,沛羽學校,"Comanche, Azteca, 67150 Guadalupe, N.L., 墨西哥",,,ChIJ12CioXzrYoYRDhcXjiMUWow,25.6822663,-100.2391968,教育｜蒙特雷
教育/培训,ヌエボレオン代,"Av. Francisco I. Madero, Mitras Sur, 64020 Monterrey, N.L., 墨西哥",,,ChIJXTuT8eSVYoYR8KM5dEnqlm8,25.687035,-100.3423637,教育｜蒙特雷
甜品/茶饮,Mo Mo Cha 奶爸王子,"Av. Alfonso Reyes, Plaza California 318-interior 102, Contry San Juanito, 64859 Monterrey, N.L., 墨西哥",4.5,101,ChIJqypZ1bKVYoYRsBYm3V9aV4k,25.6426721,-100.2769046,奶茶｜蒙特雷
甜品/茶饮,HICHA 槑茶,"plaza bella Anáhuac, Av. Sendero Divisorio 1001, Privadas de Anáhuac, Cerrada de Anáhuac Residencial, 66059 Monterrey, N.L., 墨西哥",4,1,ChIJZ8SFI0yVYoYRLui2vrnVxOQ,25.7711618,-100.2736388,奶茶｜蒙特雷 | 茶饮｜蒙特雷
综合,汇鑫,"Av. Cuauhtémoc 1010, Centro, 64000 Monterrey, N.L., 墨西哥",4,322,ChIJ9ZQKlI-VYoYRf7mrAOjIN0Y,25.6848857,-100.317294,华人｜蒙特雷
零售/超市,小太阳超市,"Ave.Milimex 105a, Milimex, 66600 Cdad. Apodaca, N.L., 墨西哥",3.2,19,ChIJnd2DWZWXYoYREOgITQYRFwc,25.7530194,-100.1969661,超市｜蒙特雷 | 亚洲超市｜蒙特雷 | 百货｜蒙特雷 | 食品店｜蒙特雷
零售/超市,中国超市Panda（小熊猫）,"Av. Raúl Salinas Lozano 591, Fraccionamiento Cortijo los Ayala, 66072 Cdad. Gral. Escobedo, N.L., 墨西哥",4.3,3,ChIJCdTGis6TYoYRFE-eClDg7UE,25.7933454,-100.3302521,亚洲超市｜蒙特雷
零售/超市,火锅店,"Valle de Aragón 1036, Valle de Los Nogales, 66610 Cdad. Apodaca, N.L., 墨西哥",,,ChIJu1_WNwDtYoYRg0yqQirgRTI,25.7918856,-100.2309508,食品店｜蒙特雷
餐饮,Lanzhou Ramen Mty 兰州拉面,"Avenida Universidad 1250-3 piso local C307, Villarreal, 66427 San Nicolás de los Garza, N.L., 墨西哥",4.7,33,ChIJv2oNNgCVYoYRnGsEIMubRB8,25.764054,-100.29312,拉面｜蒙特雷 | 奶茶｜蒙特雷
餐饮,Zhōngcān 中餐,"Josefa Ortiz de Domínguez 203, Sin Nombre de Col 1, 67480 Cadereyta Jiménez, N.L., 墨西哥",4.4,28,ChIJ50t6vWnbYoYRVriFZgdNfo0,25.589933,-99.99828790000001,中餐｜蒙特雷
餐饮,东方汇 Oriental food,"Av. Las Torres 201, Sin Nombre de Col 16, 66056 Cdad. Gral. Escobedo, N.L., 墨西哥",4.8,24,ChIJx6t5KACTYoYRtwYr3nKlJTY,25.7894405,-100.3208534,中餐｜蒙特雷
